"cod.coleta","tribo.planta","gen.planta","sp.planta","ordem.inseto","fam.inseto","gen.inseto","sp.inseto"
"G0609","Mutisieae","Gochnatia","Gochnatia pulchra","Diptera","Tephritidae","Trypanaresta","Trypanaresta aff. imitatrix"
"G0609","Mutisieae","Gochnatia","Gochnatia pulchra","Lepidoptera","Pyralidae","Unadilla","Unadilla erronella"
"G0609","Mutisieae","Gochnatia","Gochnatia pulchra","Diptera","Tephritidae","Xanthaciura","Xanthaciura biocellata"
"G0610","Vernonieae","Stenocephalum","Stenocephalum megapotamicum",,,,
"G0611","Mutisieae","Trixis","Trixis verbasciformis",,,,
"G0612","Vernonieae","Lessingianthus","Lessingianthus bardanoides","Diptera","Tephritidae","Tomoplagia","Tomoplagia achromoptera"
"G0613","Heliantheae","Bidens","Bidens gardneri","Diptera","Tephritidae","Dioxyna","Dioxyna cf. thomae"
"G0613","Heliantheae","Bidens","Bidens gardneri","Diptera","Tephritidae","Xanthaciura","Xanthaciura insecta"
"G0615","Eupatorieae","Mikania","Mikania cordifolia","Lepidoptera","Pterophoridae","Adaina","Adaina bipunctata"
"G0615","Eupatorieae","Mikania","Mikania cordifolia","Lepidoptera","Tortricidae","Cochylini","Cochylini sagittigera"
"G0616","Heliantheae","Calea","Calea verticillata",,,,
"G0617","Helenieae","Porophyllum","Porophyllum ruderale",,,,
"G0618","Vernonieae","Lepidaploa","Lepidaploa salzmannii",,,,
"G0619","Vernonieae","Lessingianthus","Lessingianthus grandiflorus",,,,
"G0620","Gnaphalieae","Achyrocline","Achyrocline sp.01",,,,
"G0621","Astereae","Conyza","Conyza canadensis",,,,
"G0622","Vernonieae","Chrysolaena","Chrysolaena herbacea",,,,
"G0623","Vernonieae","Elephantopus","Elephantopus biflorus","Diptera","Tephritidae","Tetreuaresta","Tetreuaresta aff. obscuriventris"
"G0625","Gnaphalieae","Achyrocline","Achyrocline satureioides","Diptera","Tephritidae","Tomoplagia","Tomoplagia incompleta"
"G0701","Eupatorieae","Chromolaena","Chromolaena verbenacea","Diptera","Tephritidae","Xanthaciura","Xanthaciura chrysura"
"G0701","Eupatorieae","Chromolaena","Chromolaena verbenacea","Diptera","Tephritidae","Xanthaciura","Xanthaciura sp.10"
"G0702","Vernonieae","Vernonanthura","Vernonanthura membranacea","Lepidoptera","Pyralidae","Pyralidae","Pyralidae indet."
"G0702","Vernonieae","Vernonanthura","Vernonanthura membranacea","Lepidoptera","Gelechidae","Recurvaria","Recurvaria sp.01"
"G0702","Vernonieae","Vernonanthura","Vernonanthura membranacea","Lepidoptera","Pyralidae","Unadilla","Unadilla erronella"
"G0703","Mutisieae","Gochnatia","Gochnatia pulchra",,,,
"G0704","Eupatorieae","Chromolaena","Chromolaena squalida","Diptera","Tephritidae","Cecidochares","Cecidochares connexa cf."
"G0704","Eupatorieae","Chromolaena","Chromolaena squalida","Diptera","Tephritidae","Xanthaciura","Xanthaciura chrysura"
"G0704","Eupatorieae","Chromolaena","Chromolaena squalida","Diptera","Tephritidae","Xanthaciura","Xanthaciura insecta"
"G0704","Eupatorieae","Chromolaena","Chromolaena squalida","Diptera","Tephritidae","Xanthaciura","Xanthaciura sp.04"
"G0705","Eupatorieae","Chromolaena","Chromolaena pungens","Diptera","Tephritidae","Xanthaciura","Xanthaciura chrysura"
"G0705","Eupatorieae","Chromolaena","Chromolaena pungens","Diptera","Tephritidae","Xanthaciura","Xanthaciura sp.08"
"G0706","Vernonieae","Lepidaploa","Lepidaploa sp.05",,,,
"G0707","Vernonieae","Elephantopus","Elephantopus mollis",,,,
"G0708","Astereae","Baccharis","Baccharis dracunculifolia",,,,
"G0709","Vernonieae","Piptocarpha","Piptocarpha rotundifolia",,,,
"P0701","Eupatorieae","Mikania","Mikania cordifolia","Lepidoptera","Pterophoridae","Adaina","Adaina bipunctata"
"P0701","Eupatorieae","Mikania","Mikania cordifolia","Lepidoptera","Blastobasidae","Blastobasidae","Blastobasidae sp.06"
"P0701","Eupatorieae","Mikania","Mikania cordifolia","Lepidoptera","Geometridae","Eupithecia","Eupithecia sp.03"
"P0701","Eupatorieae","Mikania","Mikania cordifolia","Lepidoptera","Tortricidae","Phalonidia","Phalonidia squalida"
"P0702","Gnaphalieae","Achyrocline","Achyrocline satureioides",,,,
"P0703","Vernonieae","Piptocarpha","Piptocarpha rotundifolia",,,,
"P0704","Eupatorieae","Chromolaena","Chromolaena odorata","Diptera","Tephritidae","Cecidochares","Cecidochares connexa cf."
"P0704","Eupatorieae","Chromolaena","Chromolaena odorata","Diptera","Tephritidae","Cecidochares","Cecidochares sp.e"
